text ,label (Class)
plant has no disease symptoms,Corn_(maize)___healthy
symptoms include no disease symptoms,Corn_(maize)___healthy
visible signs are no disease symptoms,Corn_(maize)___healthy
visible signs are no disease symptoms,Corn_(maize)___healthy
leaves show no disease symptoms,Corn_(maize)___healthy
the plant is showing no disease symptoms,Corn_(maize)___healthy
symptoms include no disease symptoms,Corn_(maize)___healthy
visible signs are no disease symptoms,Corn_(maize)___healthy
there are no disease symptoms on leaves,Corn_(maize)___healthy
leaves show healthy crop,Corn_(maize)___healthy
the plant is showing healthy crop,Corn_(maize)___healthy
the plant is showing healthy crop,Corn_(maize)___healthy
symptoms include healthy crop,Corn_(maize)___healthy
there are healthy crop on leaves,Corn_(maize)___healthy
symptoms include healthy crop,Corn_(maize)___healthy
leaves show healthy crop,Corn_(maize)___healthy
leaves show healthy crop,Corn_(maize)___healthy
the plant is showing healthy crop,Corn_(maize)___healthy
leaves show healthy crop,Corn_(maize)___healthy
the plant is showing healthy crop,Corn_(maize)___healthy
the plant is showing healthy crop,Corn_(maize)___healthy
i see healthy crop,Corn_(maize)___healthy
leaves show healthy crop,Corn_(maize)___healthy
visible signs are healthy crop,Corn_(maize)___healthy
leaves show black spots on leaves,Grape___Black_rot
i see black spots on leaves,Grape___Black_rot
the plant is showing black spots on leaves,Grape___Black_rot
there are black spots on leaves on leaves,Grape___Black_rot
the plant is showing black spots on leaves,Grape___Black_rot
the plant is showing black spots on leaves,Grape___Black_rot
symptoms include black spots on leaves,Grape___Black_rot
there are black spots on leaves on leaves,Grape___Black_rot
plant has black spots on leaves,Grape___Black_rot
leaves show black spots on leaves,Grape___Black_rot
there are black spots on leaves on leaves,Grape___Black_rot
plant has black spots on leaves,Grape___Black_rot
symptoms include black spots on leaves,Grape___Black_rot
leaves show black spots on leaves,Grape___Black_rot
visible signs are black spots on leaves,Grape___Black_rot
symptoms include fruit shriveling and drying,Grape___Black_rot
plant has fruit shriveling and drying,Grape___Black_rot
the plant is showing fruit shriveling and drying,Grape___Black_rot
there are fruit shriveling and drying on leaves,Grape___Black_rot
visible signs are fruit shriveling and drying,Grape___Black_rot
leaves show fruit shriveling and drying,Grape___Black_rot
the plant is showing fruit shriveling and drying,Grape___Black_rot
plant has fruit shriveling and drying,Grape___Black_rot
the plant is showing fruit shriveling and drying,Grape___Black_rot
visible signs are fruit shriveling and drying,Grape___Black_rot
leaves show fruit shriveling and drying,Grape___Black_rot
i see fruit shriveling and drying,Grape___Black_rot
there are fruit shriveling and drying on leaves,Grape___Black_rot
there are fruit shriveling and drying on leaves,Grape___Black_rot
leaves show fruit shriveling and drying,Grape___Black_rot
the plant is showing brown circular lesions,Grape___Black_rot
symptoms include brown circular lesions,Grape___Black_rot
plant has brown circular lesions,Grape___Black_rot
visible signs are brown circular lesions,Grape___Black_rot
there are brown circular lesions on leaves,Grape___Black_rot
there are brown circular lesions on leaves,Grape___Black_rot
plant has brown circular lesions,Grape___Black_rot
visible signs are brown circular lesions,Grape___Black_rot
symptoms include brown circular lesions,Grape___Black_rot
plant has brown circular lesions,Grape___Black_rot
i see brown circular lesions,Grape___Black_rot
plant has brown circular lesions,Grape___Black_rot
i see brown circular lesions,Grape___Black_rot
leaves show brown circular lesions,Grape___Black_rot
the plant is showing brown circular lesions,Grape___Black_rot
i see leaf striping patterns,Grape___Esca_(Black_Measles)
plant has leaf striping patterns,Grape___Esca_(Black_Measles)
i see leaf striping patterns,Grape___Esca_(Black_Measles)
i see leaf striping patterns,Grape___Esca_(Black_Measles)
there are leaf striping patterns on leaves,Grape___Esca_(Black_Measles)
i see leaf striping patterns,Grape___Esca_(Black_Measles)
plant has leaf striping patterns,Grape___Esca_(Black_Measles)
the plant is showing leaf striping patterns,Grape___Esca_(Black_Measles)
symptoms include leaf striping patterns,Grape___Esca_(Black_Measles)
there are leaf striping patterns on leaves,Grape___Esca_(Black_Measles)
leaves show leaf striping patterns,Grape___Esca_(Black_Measles)
visible signs are leaf striping patterns,Grape___Esca_(Black_Measles)
i see leaf striping patterns,Grape___Esca_(Black_Measles)
i see leaf striping patterns,Grape___Esca_(Black_Measles)
plant has leaf striping patterns,Grape___Esca_(Black_Measles)
the plant is showing dark spots on grapes,Grape___Esca_(Black_Measles)
plant has dark spots on grapes,Grape___Esca_(Black_Measles)
plant has dark spots on grapes,Grape___Esca_(Black_Measles)
symptoms include dark spots on grapes,Grape___Esca_(Black_Measles)
plant has dark spots on grapes,Grape___Esca_(Black_Measles)
visible signs are dark spots on grapes,Grape___Esca_(Black_Measles)
symptoms include dark spots on grapes,Grape___Esca_(Black_Measles)
visible signs are dark spots on grapes,Grape___Esca_(Black_Measles)
visible signs are dark spots on grapes,Grape___Esca_(Black_Measles)
leaves show dark spots on grapes,Grape___Esca_(Black_Measles)
there are dark spots on grapes on leaves,Grape___Esca_(Black_Measles)
i see dark spots on grapes,Grape___Esca_(Black_Measles)
leaves show dark spots on grapes,Grape___Esca_(Black_Measles)
i see dark spots on grapes,Grape___Esca_(Black_Measles)
there are dark spots on grapes on leaves,Grape___Esca_(Black_Measles)
leaves show leaf scorch symptoms,Grape___Esca_(Black_Measles)
plant has leaf scorch symptoms,Grape___Esca_(Black_Measles)
i see leaf scorch symptoms,Grape___Esca_(Black_Measles)
there are leaf scorch symptoms on leaves,Grape___Esca_(Black_Measles)
i see leaf scorch symptoms,Grape___Esca_(Black_Measles)
visible signs are leaf scorch symptoms,Grape___Esca_(Black_Measles)
leaves show leaf scorch symptoms,Grape___Esca_(Black_Measles)
i see leaf scorch symptoms,Grape___Esca_(Black_Measles)
i see leaf scorch symptoms,Grape___Esca_(Black_Measles)
i see leaf scorch symptoms,Grape___Esca_(Black_Measles)
i see leaf scorch symptoms,Grape___Esca_(Black_Measles)
leaves show leaf scorch symptoms,Grape___Esca_(Black_Measles)
leaves show leaf scorch symptoms,Grape___Esca_(Black_Measles)
leaves show leaf scorch symptoms,Grape___Esca_(Black_Measles)
the plant is showing leaf scorch symptoms,Grape___Esca_(Black_Measles)
there are brown angular leaf spots on leaves,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
there are brown angular leaf spots on leaves,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
leaves show brown angular leaf spots,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
leaves show brown angular leaf spots,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
plant has brown angular leaf spots,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
i see brown angular leaf spots,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
leaves show brown angular leaf spots,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
i see brown angular leaf spots,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
plant has brown angular leaf spots,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
the plant is showing brown angular leaf spots,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
i see brown angular leaf spots,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
visible signs are brown angular leaf spots,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
leaves show brown angular leaf spots,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
there are brown angular leaf spots on leaves,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
i see brown angular leaf spots,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
leaves show yellow halo around lesions,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
symptoms include yellow halo around lesions,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
i see yellow halo around lesions,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
leaves show yellow halo around lesions,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
i see yellow halo around lesions,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
there are yellow halo around lesions on leaves,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
leaves show yellow halo around lesions,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
symptoms include yellow halo around lesions,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
i see yellow halo around lesions,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
i see yellow halo around lesions,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
visible signs are yellow halo around lesions,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
visible signs are yellow halo around lesions,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
i see yellow halo around lesions,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
the plant is showing yellow halo around lesions,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
plant has yellow halo around lesions,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
the plant is showing leaf drying,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
the plant is showing leaf drying,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
i see leaf drying,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
the plant is showing leaf drying,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
there are leaf drying on leaves,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
there are leaf drying on leaves,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
there are leaf drying on leaves,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
leaves show leaf drying,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
leaves show leaf drying,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
i see leaf drying,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
symptoms include leaf drying,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
the plant is showing leaf drying,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
the plant is showing leaf drying,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
leaves show leaf drying,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
the plant is showing leaf drying,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
leaves show healthy vine,Grape___healthy
i see healthy vine,Grape___healthy
there are healthy vine on leaves,Grape___healthy
the plant is showing healthy vine,Grape___healthy
the plant is showing healthy vine,Grape___healthy
there are healthy vine on leaves,Grape___healthy
visible signs are healthy vine,Grape___healthy
leaves show healthy vine,Grape___healthy
visible signs are healthy vine,Grape___healthy
symptoms include healthy vine,Grape___healthy
visible signs are healthy vine,Grape___healthy
visible signs are healthy vine,Grape___healthy
visible signs are healthy vine,Grape___healthy
leaves show healthy vine,Grape___healthy
leaves show healthy vine,Grape___healthy
symptoms include green leaves,Grape___healthy
symptoms include green leaves,Grape___healthy
leaves show green leaves,Grape___healthy
the plant is showing green leaves,Grape___healthy
plant has green leaves,Grape___healthy
plant has green leaves,Grape___healthy
i see green leaves,Grape___healthy
visible signs are green leaves,Grape___healthy
symptoms include green leaves,Grape___healthy
symptoms include green leaves,Grape___healthy
there are green leaves on leaves,Grape___healthy
leaves show green leaves,Grape___healthy
the plant is showing green leaves,Grape___healthy
visible signs are green leaves,Grape___healthy
the plant is showing green leaves,Grape___healthy
i see no symptoms,Grape___healthy
there are no symptoms on leaves,Grape___healthy
there are no symptoms on leaves,Grape___healthy
there are no symptoms on leaves,Grape___healthy
symptoms include no symptoms,Grape___healthy
there are no symptoms on leaves,Grape___healthy
leaves show no symptoms,Grape___healthy
leaves show no symptoms,Grape___healthy
the plant is showing no symptoms,Grape___healthy
plant has no symptoms,Grape___healthy
i see no symptoms,Grape___healthy
there are no symptoms on leaves,Grape___healthy
symptoms include no symptoms,Grape___healthy
symptoms include no symptoms,Grape___healthy
leaves show no symptoms,Grape___healthy
plant has yellow mottled leaves,Orange___Haunglongbing_(Citrus_greening)
visible signs are yellow mottled leaves,Orange___Haunglongbing_(Citrus_greening)
there are yellow mottled leaves on leaves,Orange___Haunglongbing_(Citrus_greening)
visible signs are yellow mottled leaves,Orange___Haunglongbing_(Citrus_greening)
plant has yellow mottled leaves,Orange___Haunglongbing_(Citrus_greening)
plant has yellow mottled leaves,Orange___Haunglongbing_(Citrus_greening)
leaves show yellow mottled leaves,Orange___Haunglongbing_(Citrus_greening)
plant has yellow mottled leaves,Orange___Haunglongbing_(Citrus_greening)
visible signs are yellow mottled leaves,Orange___Haunglongbing_(Citrus_greening)
symptoms include yellow mottled leaves,Orange___Haunglongbing_(Citrus_greening)
there are yellow mottled leaves on leaves,Orange___Haunglongbing_(Citrus_greening)
leaves show yellow mottled leaves,Orange___Haunglongbing_(Citrus_greening)
leaves show yellow mottled leaves,Orange___Haunglongbing_(Citrus_greening)
plant has yellow mottled leaves,Orange___Haunglongbing_(Citrus_greening)
i see yellow mottled leaves,Orange___Haunglongbing_(Citrus_greening)
i see asymmetrical leaf yellowing,Orange___Haunglongbing_(Citrus_greening)
symptoms include asymmetrical leaf yellowing,Orange___Haunglongbing_(Citrus_greening)
leaves show asymmetrical leaf yellowing,Orange___Haunglongbing_(Citrus_greening)
visible signs are asymmetrical leaf yellowing,Orange___Haunglongbing_(Citrus_greening)
leaves show asymmetrical leaf yellowing,Orange___Haunglongbing_(Citrus_greening)
i see asymmetrical leaf yellowing,Orange___Haunglongbing_(Citrus_greening)
the plant is showing asymmetrical leaf yellowing,Orange___Haunglongbing_(Citrus_greening)
i see asymmetrical leaf yellowing,Orange___Haunglongbing_(Citrus_greening)
plant has asymmetrical leaf yellowing,Orange___Haunglongbing_(Citrus_greening)
the plant is showing asymmetrical leaf yellowing,Orange___Haunglongbing_(Citrus_greening)
symptoms include asymmetrical leaf yellowing,Orange___Haunglongbing_(Citrus_greening)
visible signs are asymmetrical leaf yellowing,Orange___Haunglongbing_(Citrus_greening)
symptoms include asymmetrical leaf yellowing,Orange___Haunglongbing_(Citrus_greening)
there are asymmetrical leaf yellowing on leaves,Orange___Haunglongbing_(Citrus_greening)
plant has asymmetrical leaf yellowing,Orange___Haunglongbing_(Citrus_greening)
i see small deformed fruits,Orange___Haunglongbing_(Citrus_greening)
leaves show small deformed fruits,Orange___Haunglongbing_(Citrus_greening)
symptoms include small deformed fruits,Orange___Haunglongbing_(Citrus_greening)
the plant is showing small deformed fruits,Orange___Haunglongbing_(Citrus_greening)
there are small deformed fruits on leaves,Orange___Haunglongbing_(Citrus_greening)
there are small deformed fruits on leaves,Orange___Haunglongbing_(Citrus_greening)
plant has small deformed fruits,Orange___Haunglongbing_(Citrus_greening)
plant has small deformed fruits,Orange___Haunglongbing_(Citrus_greening)
symptoms include small deformed fruits,Orange___Haunglongbing_(Citrus_greening)
there are small deformed fruits on leaves,Orange___Haunglongbing_(Citrus_greening)
leaves show small deformed fruits,Orange___Haunglongbing_(Citrus_greening)
symptoms include small deformed fruits,Orange___Haunglongbing_(Citrus_greening)
visible signs are small deformed fruits,Orange___Haunglongbing_(Citrus_greening)
visible signs are small deformed fruits,Orange___Haunglongbing_(Citrus_greening)
plant has small deformed fruits,Orange___Haunglongbing_(Citrus_greening)
visible signs are dark water soaked spots on leaves,Peach___Bacterial_spot
there are dark water soaked spots on leaves on leaves,Peach___Bacterial_spot
symptoms include dark water soaked spots on leaves,Peach___Bacterial_spot
symptoms include dark water soaked spots on leaves,Peach___Bacterial_spot
visible signs are dark water soaked spots on leaves,Peach___Bacterial_spot
the plant is showing dark water soaked spots on leaves,Peach___Bacterial_spot
plant has dark water soaked spots on leaves,Peach___Bacterial_spot
the plant is showing dark water soaked spots on leaves,Peach___Bacterial_spot
there are dark water soaked spots on leaves on leaves,Peach___Bacterial_spot
i see dark water soaked spots on leaves,Peach___Bacterial_spot
there are dark water soaked spots on leaves on leaves,Peach___Bacterial_spot
i see dark water soaked spots on leaves,Peach___Bacterial_spot
leaves show dark water soaked spots on leaves,Peach___Bacterial_spot
i see dark water soaked spots on leaves,Peach___Bacterial_spot
plant has dark water soaked spots on leaves,Peach___Bacterial_spot
there are leaf holes and tearing on leaves,Peach___Bacterial_spot
leaves show leaf holes and tearing,Peach___Bacterial_spot
there are leaf holes and tearing on leaves,Peach___Bacterial_spot
there are leaf holes and tearing on leaves,Peach___Bacterial_spot
symptoms include leaf holes and tearing,Peach___Bacterial_spot
i see leaf holes and tearing,Peach___Bacterial_spot
the plant is showing leaf holes and tearing,Peach___Bacterial_spot
i see leaf holes and tearing,Peach___Bacterial_spot
visible signs are leaf holes and tearing,Peach___Bacterial_spot
plant has leaf holes and tearing,Peach___Bacterial_spot
there are leaf holes and tearing on leaves,Peach___Bacterial_spot
the plant is showing leaf holes and tearing,Peach___Bacterial_spot
leaves show leaf holes and tearing,Peach___Bacterial_spot
visible signs are leaf holes and tearing,Peach___Bacterial_spot
plant has leaf holes and tearing,Peach___Bacterial_spot
i see fruit surface lesions,Peach___Bacterial_spot
the plant is showing fruit surface lesions,Peach___Bacterial_spot
there are fruit surface lesions on leaves,Peach___Bacterial_spot
visible signs are fruit surface lesions,Peach___Bacterial_spot
leaves show fruit surface lesions,Peach___Bacterial_spot
plant has fruit surface lesions,Peach___Bacterial_spot
leaves show fruit surface lesions,Peach___Bacterial_spot
there are fruit surface lesions on leaves,Peach___Bacterial_spot
the plant is showing fruit surface lesions,Peach___Bacterial_spot
there are fruit surface lesions on leaves,Peach___Bacterial_spot
leaves show fruit surface lesions,Peach___Bacterial_spot
visible signs are fruit surface lesions,Peach___Bacterial_spot
i see fruit surface lesions,Peach___Bacterial_spot
there are fruit surface lesions on leaves,Peach___Bacterial_spot
symptoms include fruit surface lesions,Peach___Bacterial_spot
symptoms include green leaves,Peach___healthy
there are green leaves on leaves,Peach___healthy
symptoms include green leaves,Peach___healthy
leaves show green leaves,Peach___healthy
the plant is showing green leaves,Peach___healthy
visible signs are green leaves,Peach___healthy
symptoms include green leaves,Peach___healthy
the plant is showing green leaves,Peach___healthy
i see green leaves,Peach___healthy
leaves show green leaves,Peach___healthy
the plant is showing green leaves,Peach___healthy
symptoms include green leaves,Peach___healthy
i see green leaves,Peach___healthy
plant has green leaves,Peach___healthy
i see green leaves,Peach___healthy
plant has healthy plant,Peach___healthy
the plant is showing healthy plant,Peach___healthy
plant has healthy plant,Peach___healthy
there are healthy plant on leaves,Peach___healthy
there are healthy plant on leaves,Peach___healthy
visible signs are healthy plant,Peach___healthy
leaves show healthy plant,Peach___healthy
the plant is showing healthy plant,Peach___healthy
i see healthy plant,Peach___healthy
plant has healthy plant,Peach___healthy
symptoms include healthy plant,Peach___healthy
plant has healthy plant,Peach___healthy
the plant is showing healthy plant,Peach___healthy
there are healthy plant on leaves,Peach___healthy
leaves show healthy plant,Peach___healthy
i see no symptoms,Peach___healthy
leaves show no symptoms,Peach___healthy
visible signs are no symptoms,Peach___healthy
symptoms include no symptoms,Peach___healthy
plant has no symptoms,Peach___healthy
symptoms include no symptoms,Peach___healthy
leaves show no symptoms,Peach___healthy
i see no symptoms,Peach___healthy
there are no symptoms on leaves,Peach___healthy
the plant is showing no symptoms,Peach___healthy
there are no symptoms on leaves,Peach___healthy
leaves show no symptoms,Peach___healthy
plant has no symptoms,Peach___healthy
the plant is showing no symptoms,Peach___healthy
leaves show no symptoms,Peach___healthy
leaves show small dark spots on leaves,"Pepper,_bell___Bacterial_spot"
symptoms include small dark spots on leaves,"Pepper,_bell___Bacterial_spot"
plant has small dark spots on leaves,"Pepper,_bell___Bacterial_spot"
visible signs are small dark spots on leaves,"Pepper,_bell___Bacterial_spot"
there are small dark spots on leaves on leaves,"Pepper,_bell___Bacterial_spot"
visible signs are small dark spots on leaves,"Pepper,_bell___Bacterial_spot"
i see small dark spots on leaves,"Pepper,_bell___Bacterial_spot"
leaves show small dark spots on leaves,"Pepper,_bell___Bacterial_spot"
plant has small dark spots on leaves,"Pepper,_bell___Bacterial_spot"
the plant is showing small dark spots on leaves,"Pepper,_bell___Bacterial_spot"
the plant is showing small dark spots on leaves,"Pepper,_bell___Bacterial_spot"
symptoms include small dark spots on leaves,"Pepper,_bell___Bacterial_spot"
plant has small dark spots on leaves,"Pepper,_bell___Bacterial_spot"
visible signs are small dark spots on leaves,"Pepper,_bell___Bacterial_spot"
symptoms include small dark spots on leaves,"Pepper,_bell___Bacterial_spot"
i see yellow halo around spots,"Pepper,_bell___Bacterial_spot"
plant has yellow halo around spots,"Pepper,_bell___Bacterial_spot"
plant has yellow halo around spots,"Pepper,_bell___Bacterial_spot"
plant has yellow halo around spots,"Pepper,_bell___Bacterial_spot"
i see yellow halo around spots,"Pepper,_bell___Bacterial_spot"
symptoms include yellow halo around spots,"Pepper,_bell___Bacterial_spot"
there are yellow halo around spots on leaves,"Pepper,_bell___Bacterial_spot"
symptoms include yellow halo around spots,"Pepper,_bell___Bacterial_spot"
leaves show yellow halo around spots,"Pepper,_bell___Bacterial_spot"
leaves show yellow halo around spots,"Pepper,_bell___Bacterial_spot"
visible signs are yellow halo around spots,"Pepper,_bell___Bacterial_spot"
the plant is showing yellow halo around spots,"Pepper,_bell___Bacterial_spot"
leaves show yellow halo around spots,"Pepper,_bell___Bacterial_spot"
leaves show yellow halo around spots,"Pepper,_bell___Bacterial_spot"
i see yellow halo around spots,"Pepper,_bell___Bacterial_spot"
i see leaf drop,"Pepper,_bell___Bacterial_spot"
leaves show leaf drop,"Pepper,_bell___Bacterial_spot"
i see leaf drop,"Pepper,_bell___Bacterial_spot"
there are leaf drop on leaves,"Pepper,_bell___Bacterial_spot"
plant has leaf drop,"Pepper,_bell___Bacterial_spot"
i see leaf drop,"Pepper,_bell___Bacterial_spot"
there are leaf drop on leaves,"Pepper,_bell___Bacterial_spot"
i see leaf drop,"Pepper,_bell___Bacterial_spot"
leaves show leaf drop,"Pepper,_bell___Bacterial_spot"
there are leaf drop on leaves,"Pepper,_bell___Bacterial_spot"
plant has leaf drop,"Pepper,_bell___Bacterial_spot"
leaves show leaf drop,"Pepper,_bell___Bacterial_spot"
visible signs are leaf drop,"Pepper,_bell___Bacterial_spot"
i see leaf drop,"Pepper,_bell___Bacterial_spot"
leaves show leaf drop,"Pepper,_bell___Bacterial_spot"
symptoms include healthy green leaves,"Pepper,_bell___healthy"
the plant is showing healthy green leaves,"Pepper,_bell___healthy"
i see healthy green leaves,"Pepper,_bell___healthy"
leaves show healthy green leaves,"Pepper,_bell___healthy"
leaves show healthy green leaves,"Pepper,_bell___healthy"
visible signs are healthy green leaves,"Pepper,_bell___healthy"
the plant is showing healthy green leaves,"Pepper,_bell___healthy"
the plant is showing healthy green leaves,"Pepper,_bell___healthy"
plant has healthy green leaves,"Pepper,_bell___healthy"
the plant is showing healthy green leaves,"Pepper,_bell___healthy"
visible signs are healthy green leaves,"Pepper,_bell___healthy"
leaves show healthy green leaves,"Pepper,_bell___healthy"
the plant is showing healthy green leaves,"Pepper,_bell___healthy"
i see healthy green leaves,"Pepper,_bell___healthy"
visible signs are healthy green leaves,"Pepper,_bell___healthy"
leaves show no disease,"Pepper,_bell___healthy"
there are no disease on leaves,"Pepper,_bell___healthy"
symptoms include no disease,"Pepper,_bell___healthy"
visible signs are no disease,"Pepper,_bell___healthy"
visible signs are no disease,"Pepper,_bell___healthy"
plant has no disease,"Pepper,_bell___healthy"
symptoms include no disease,"Pepper,_bell___healthy"
symptoms include no disease,"Pepper,_bell___healthy"
i see no disease,"Pepper,_bell___healthy"
there are no disease on leaves,"Pepper,_bell___healthy"
symptoms include no disease,"Pepper,_bell___healthy"
leaves show no disease,"Pepper,_bell___healthy"
visible signs are no disease,"Pepper,_bell___healthy"
visible signs are no disease,"Pepper,_bell___healthy"
symptoms include no disease,"Pepper,_bell___healthy"
leaves show normal growth,"Pepper,_bell___healthy"
there are normal growth on leaves,"Pepper,_bell___healthy"
symptoms include normal growth,"Pepper,_bell___healthy"
there are normal growth on leaves,"Pepper,_bell___healthy"
i see normal growth,"Pepper,_bell___healthy"
the plant is showing normal growth,"Pepper,_bell___healthy"
the plant is showing normal growth,"Pepper,_bell___healthy"
plant has normal growth,"Pepper,_bell___healthy"
i see normal growth,"Pepper,_bell___healthy"
symptoms include normal growth,"Pepper,_bell___healthy"
leaves show normal growth,"Pepper,_bell___healthy"
plant has normal growth,"Pepper,_bell___healthy"
visible signs are normal growth,"Pepper,_bell___healthy"
i see normal growth,"Pepper,_bell___healthy"
i see normal growth,"Pepper,_bell___healthy"
plant has brown spots with concentric rings,Potato___Early_blight
the plant is showing brown spots with concentric rings,Potato___Early_blight
the plant is showing brown spots with concentric rings,Potato___Early_blight
i see brown spots with concentric rings,Potato___Early_blight
symptoms include brown spots with concentric rings,Potato___Early_blight
leaves show brown spots with concentric rings,Potato___Early_blight
i see brown spots with concentric rings,Potato___Early_blight
plant has brown spots with concentric rings,Potato___Early_blight
symptoms include brown spots with concentric rings,Potato___Early_blight
symptoms include brown spots with concentric rings,Potato___Early_blight
i see brown spots with concentric rings,Potato___Early_blight
leaves show brown spots with concentric rings,Potato___Early_blight
leaves show brown spots with concentric rings,Potato___Early_blight
there are brown spots with concentric rings on leaves,Potato___Early_blight
i see brown spots with concentric rings,Potato___Early_blight
there are yellowing of leaves on leaves,Potato___Early_blight
visible signs are yellowing of leaves,Potato___Early_blight
there are yellowing of leaves on leaves,Potato___Early_blight
leaves show yellowing of leaves,Potato___Early_blight
symptoms include yellowing of leaves,Potato___Early_blight
leaves show yellowing of leaves,Potato___Early_blight
plant has yellowing of leaves,Potato___Early_blight
there are yellowing of leaves on leaves,Potato___Early_blight
there are yellowing of leaves on leaves,Potato___Early_blight
there are yellowing of leaves on leaves,Potato___Early_blight
plant has yellowing of leaves,Potato___Early_blight
there are yellowing of leaves on leaves,Potato___Early_blight
i see yellowing of leaves,Potato___Early_blight
leaves show yellowing of leaves,Potato___Early_blight
there are yellowing of leaves on leaves,Potato___Early_blight
there are dry leaf patches on leaves,Potato___Early_blight
i see dry leaf patches,Potato___Early_blight
i see dry leaf patches,Potato___Early_blight
the plant is showing dry leaf patches,Potato___Early_blight
the plant is showing dry leaf patches,Potato___Early_blight
leaves show dry leaf patches,Potato___Early_blight
plant has dry leaf patches,Potato___Early_blight
there are dry leaf patches on leaves,Potato___Early_blight
visible signs are dry leaf patches,Potato___Early_blight
symptoms include dry leaf patches,Potato___Early_blight
plant has dry leaf patches,Potato___Early_blight
i see dry leaf patches,Potato___Early_blight
plant has dry leaf patches,Potato___Early_blight
symptoms include dry leaf patches,Potato___Early_blight
symptoms include dry leaf patches,Potato___Early_blight
the plant is showing dark water soaked lesions,Potato___Late_blight
plant has dark water soaked lesions,Potato___Late_blight
i see dark water soaked lesions,Potato___Late_blight
visible signs are dark water soaked lesions,Potato___Late_blight
visible signs are dark water soaked lesions,Potato___Late_blight
leaves show dark water soaked lesions,Potato___Late_blight
leaves show dark water soaked lesions,Potato___Late_blight
i see dark water soaked lesions,Potato___Late_blight
plant has dark water soaked lesions,Potato___Late_blight
visible signs are dark water soaked lesions,Potato___Late_blight
plant has dark water soaked lesions,Potato___Late_blight
i see dark water soaked lesions,Potato___Late_blight
symptoms include dark water soaked lesions,Potato___Late_blight
there are dark water soaked lesions on leaves,Potato___Late_blight
symptoms include dark water soaked lesions,Potato___Late_blight
i see leaf rot,Potato___Late_blight
symptoms include leaf rot,Potato___Late_blight
symptoms include leaf rot,Potato___Late_blight
the plant is showing leaf rot,Potato___Late_blight
there are leaf rot on leaves,Potato___Late_blight
there are leaf rot on leaves,Potato___Late_blight
symptoms include leaf rot,Potato___Late_blight
the plant is showing leaf rot,Potato___Late_blight
leaves show leaf rot,Potato___Late_blight
plant has leaf rot,Potato___Late_blight
plant has leaf rot,Potato___Late_blight
plant has leaf rot,Potato___Late_blight
plant has leaf rot,Potato___Late_blight
the plant is showing leaf rot,Potato___Late_blight
the plant is showing leaf rot,Potato___Late_blight
leaves show white fungal growth underside,Potato___Late_blight
there are white fungal growth underside on leaves,Potato___Late_blight
leaves show white fungal growth underside,Potato___Late_blight
plant has white fungal growth underside,Potato___Late_blight
there are white fungal growth underside on leaves,Potato___Late_blight
the plant is showing white fungal growth underside,Potato___Late_blight
